Engine CC,Total,Price,Female,Manufacturer,Unknown,Fuel,Male,Power,Model,Transmission
1534.392857,20090.0,20.36464286,5531.0,Peugeot,989.0,diesel,13570.0,82.25,Partner,5.857142857
1452.3,20048.0,30.351,5800.0,Skoda,883.0,petrol,13365.0,83.5,Yeti,6.3
2967.0,19938.0,94.098125,4973.0,Volkswagen,906.0,diesel,14059.0,190.0,Touareg,8.0
1592.0,19529.0,39.725,2367.0,Skoda,763.0,petrol,16399.0,110.0,Superb,6.8
1817.315789,18703.0,23.16515789,5834.0,Mitsubishi,1007.0,petrol,11862.0,82.15789474,Space,3.947368421
1974.0,18318.0,21.407,4770.0,Nissan,655.0,petrol,12893.0,72.0,Prairie,4.5
1324.357143,18078.0,20.37,3647.0,Seat,672.0,petrol,13759.0,74.21428571,Toledo,5.642857143
1709.538462,17790.0,23.01661538,3832.0,Mitsubishi,585.0,petrol,13373.0,90.88461538,Lancer,4.730769231
1599.0,17790.0,18.513,6547.0,Hyundai,690.0,petrol,10553.0,76.0,Matrix,4.6
1336.666667,17650.0,12.49833333,10551.0,Volkswagen,966.0,petrol,6133.0,48.66666667,Fox,5.0
1559.181818,17531.0,12.73581818,4048.0,Fiat,336.0,petrol,13147.0,54.0,Regata,4.636363636
1406.0,17530.0,23.0525,8631.0,Audi,1211.0,petrol,7688.0,55.0,A,5.0
2548.833333,17280.0,42.74666667,2280.0,MG,504.0,petrol,14496.0,128.5,ZT,5.0
1384.0,17174.0,13.70454545,10381.0,Seat,807.0,petrol,5986.0,47.45454545,Arosa,4.818181818
958.6,17134.0,14.94,10447.0,Renault,672.0,petrol,6015.0,59.6,Twingo,5.2
1668.333333,17086.0,9.58,4121.0,Datsun,322.0,petrol,12643.0,61.66666667,Stanza,4.5
1523.741935,17070.0,25.17006452,4440.0,Fiat,900.0,diesel,11730.0,79.30645161,Doblo,5.516129032
1740.0,17059.0,42.2862,9047.0,Volkswagen,1352.0,petrol,6660.0,113.8,Eos,6.0
1487.5,16907.0,8.118,3523.0,Morris,201.0,petrol,13183.0,51.5,Ital,4.0
1759.190476,16759.0,17.91985714,3694.0,Fiat,435.0,petrol,12630.0,64.47619048,Tempra,4.19047619
1152.888889,16461.0,17.31777778,8634.0,Toyota,1288.0,petrol,6539.0,58.44444444,IQ,3.666666667
6208.0,16431.0,264.675,3121.0,Mercedes,879.0,petrol,12431.0,420.0,SLS,7.0
1995.0,16319.0,19.71783333,4853.0,Chrysler,805.0,petrol,10661.0,98.0,Neon,4.0
2526.5,16217.0,29.151,4239.0,Ford,605.0,petrol,11373.0,89.0,Maverick,5.0
2345.1,16077.0,36.35965,2031.0,Citroen,585.0,petrol,13461.0,110.5,XM,4.55
1518.678571,15929.0,13.31085714,5117.0,Opel,322.0,petrol,10490.0,53.33928571,Kadett,4.089285714
